timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,
1.65531E+12,1248,Login,200,OK,Workers 1-14,text,TRUE,,3193,795,300,397,http://localhost/login,1248,0,1,,,,
1.65531E+12,565,Login,200,OK,Workers 1-240,text,TRUE,,3196,821,300,397,http://localhost/login,565,0,0,,,,
1.65531E+12,1118,Login,200,OK,Workers 1-61,text,TRUE,,3194,800,300,394,http://localhost/login,1118,0,0,,,,
1.65531E+12,1034,Login,200,OK,Workers 1-89,text,TRUE,,3193,795,300,394,http://localhost/login,1034,0,1,,,,
1.65531E+12,717,Login,200,OK,Workers 1-196,text,TRUE,,3194,816,300,394,http://localhost/login,716,0,1,,,,
1.65531E+12,1012,Login,200,OK,Workers 1-97,text,TRUE,,3195,790,300,394,http://localhost/login,1012,0,0,,,,
1.65531E+12,1217,Login,200,OK,Workers 1-32,text,TRUE,,3193,805,300,393,http://localhost/login,1216,0,0,,,,
1.65531E+12,1077,Login,200,OK,Workers 1-78,text,TRUE,,3195,800,300,393,http://localhost/login,1077,0,0,,,,
1.65531E+12,717,Login,200,OK,Workers 1-199,text,TRUE,,3194,831,300,393,http://localhost/login,717,0,0,,,,
1.65531E+12,438,Login,200,OK,Workers 1-293,text,TRUE,,3194,811,300,392,http://localhost/login,438,0,1,,,,
1.65531E+12,725,Login,200,OK,Workers 1-197,text,TRUE,,3195,816,300,392,http://localhost/login,725,0,1,,,,
1.65531E+12,1088,Login,200,OK,Workers 1-77,text,TRUE,,3195,830,300,392,http://localhost/login,1088,0,1,,,,
1.65531E+12,1190,Login,200,OK,Workers 1-44,text,TRUE,,3193,795,300,387,http://localhost/login,1190,0,1,,,,
1.65531E+12,565,Login,200,OK,Workers 1-256,text,TRUE,,3194,826,300,385,http://localhost/login,565,0,1,,,,
1.65531E+12,747,Login,200,OK,Workers 1-193,text,TRUE,,3194,806,300,385,http://localhost/login,746,0,0,,,,
1.65531E+12,757,Login,200,OK,Workers 1-192,text,TRUE,,3194,816,300,384,http://localhost/login,757,0,0,,,,
1.65531E+12,763,Login,200,OK,Workers 1-191,text,TRUE,,3195,831,300,384,http://localhost/login,763,0,1,,,,
1.65531E+12,551,Login,200,OK,Workers 1-262,text,TRUE,,3194,831,300,384,http://localhost/login,551,0,1,,,,
1.65531E+12,759,Login,200,OK,Workers 1-195,text,TRUE,,3195,826,300,378,http://localhost/login,759,0,0,,,,
1.65531E+12,509,addProductToCart,200,OK,Workers 1-70,text,TRUE,,3274,818,300,378,http://localhost/addToCart,509,0,0,,,,
1.65531E+12,525,Login,200,OK,Workers 1-274,text,TRUE,,3194,806,300,377,http://localhost/login,525,0,0,,,,
1.65531E+12,789,Login,200,OK,Workers 1-187,text,TRUE,,3195,821,300,377,http://localhost/login,789,0,1,,,,
1.65531E+12,786,Login,200,OK,Workers 1-189,text,TRUE,,3195,811,300,377,http://localhost/login,786,0,1,,,,
1.65531E+12,772,addProductToCart,200,OK,Workers 1-91,text,TRUE,,3274,848,300,377,http://localhost/addToCart,772,0,1,,,,
1.65531E+12,538,Login,200,OK,Workers 1-273,text,TRUE,,3196,821,300,373,http://localhost/login,538,0,1,,,,
1.65531E+12,809,Login,200,OK,Workers 1-184,text,TRUE,,3195,836,300,369,http://localhost/login,809,0,0,,,,
1.65531E+12,553,Login,200,OK,Workers 1-272,text,TRUE,,3195,821,300,363,http://localhost/login,553,0,0,,,,
1.65531E+12,1248,Login,200,OK,Workers 1-39,text,TRUE,,3192,825,300,362,http://localhost/login,1248,0,1,,,,
1.65531E+12,1173,Login,200,OK,Workers 1-69,text,TRUE,,3195,800,300,362,http://localhost/login,1173,0,0,,,,
1.65531E+12,440,addProductToCart,200,OK,Workers 1-115,text,TRUE,,3274,848,300,359,http://localhost/addToCart,440,0,0,,,,
1.65531E+12,430,addProductToCart,200,OK,Workers 1-183,text,TRUE,,3272,833,300,358,http://localhost/addToCart,430,0,0,,,,
1.65531E+12,550,Login,200,OK,Workers 1-280,text,TRUE,,3195,831,300,357,http://localhost/login,550,0,1,,,,
1.65531E+12,445,addProductToCart,200,OK,Workers 1-103,text,TRUE,,3273,828,300,354,http://localhost/addToCart,445,0,0,,,,
1.65531E+12,902,Login,200,OK,Workers 1-167,text,TRUE,,3196,836,300,349,http://localhost/login,902,0,1,,,,
1.65531E+12,439,addProductToCart,200,OK,Workers 1-109,text,TRUE,,3275,848,300,349,http://localhost/addToCart,439,0,1,,,,
1.65531E+12,890,Login,200,OK,Workers 1-171,text,TRUE,,3196,826,300,349,http://localhost/login,890,0,1,,,,
1.65531E+12,859,Login,200,OK,Workers 1-182,text,TRUE,,3195,826,300,349,http://localhost/login,859,0,0,,,,
1.65531E+12,910,Login,200,OK,Workers 1-165,text,TRUE,,3194,796,300,349,http://localhost/login,910,0,0,,,,
1.65531E+12,878,addProductToCart,200,OK,Workers 1-98,text,TRUE,,3274,813,300,348,http://localhost/addToCart,878,0,0,,,,
1.65531E+12,868,Login,200,OK,Workers 1-180,text,TRUE,,3195,821,300,348,http://localhost/login,868,0,0,,,,
1.65531E+12,878,Login,200,OK,Workers 1-179,text,TRUE,,3195,816,300,347,http://localhost/login,878,0,0,,,,
1.65531E+12,907,Login,200,OK,Workers 1-169,text,TRUE,,3196,821,300,347,http://localhost/login,907,0,0,,,,
1.65531E+12,873,Login,200,OK,Workers 1-181,text,TRUE,,3196,791,300,347,http://localhost/login,873,0,0,,,,
1.65531E+12,884,Login,200,OK,Workers 1-178,text,TRUE,,3194,816,300,347,http://localhost/login,883,0,1,,,,
1.65531E+12,903,Login,200,OK,Workers 1-173,text,TRUE,,3195,826,300,346,http://localhost/login,903,0,0,,,,
1.65531E+12,931,Login,200,OK,Workers 1-164,text,TRUE,,3195,811,300,346,http://localhost/login,931,0,1,,,,
1.65531E+12,940,Login,200,OK,Workers 1-161,text,TRUE,,3195,811,300,346,http://localhost/login,940,0,1,,,,
1.65531E+12,617,Login,200,OK,Workers 1-269,text,TRUE,,3195,821,300,346,http://localhost/login,617,0,0,,,,
1.65531E+12,951,Login,200,OK,Workers 1-159,text,TRUE,,3196,806,300,344,http://localhost/login,951,0,0,,,,
1.65531E+12,642,Login,200,OK,Workers 1-263,text,TRUE,,3196,786,300,344,http://localhost/login,642,0,0,,,,
1.65531E+12,952,Login,200,OK,Workers 1-160,text,TRUE,,3194,801,300,344,http://localhost/login,952,0,0,,,,
