timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1655465385465,1,Open store,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-189,text,false,,2628,0,172,309,http://localhost/openStore,0,0,1
1655465385466,1,logout,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-189,text,false,,2628,0,172,309,http://localhost/logout,0,0,1
1655465385467,0,Debug Sampler,200,OK,Workers 1-189,text,true,,444,0,172,309,null,0,0,0
1655465385468,1,Register,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-190,text,false,,2328,0,173,310,http://localhost/register,0,0,1
1655465385470,0,Login,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-190,text,false,,2328,0,173,310,http://localhost/login,0,0,0
1655465385470,1,Register,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-191,text,false,,2328,0,173,310,http://localhost/register,0,0,1
1655465385471,0,Open store,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-190,text,false,,2628,0,173,310,http://localhost/openStore,0,0,0
1655465385471,0,Login,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-191,text,false,,2328,0,173,310,http://localhost/login,0,0,0
1655465385521,0,Register,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-201,text,false,,2328,0,186,340,http://localhost/register,0,0,0
1655465385522,0,Login,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-201,text,false,,2328,0,186,339,http://localhost/login,0,0,0
1655465385523,0,Open store,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-201,text,false,,2628,0,186,339,http://localhost/openStore,0,0,0
1655465385524,1,logout,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-201,text,false,,2628,0,187,341,http://localhost/logout,0,0,1
1655465385525,0,Debug Sampler,200,OK,Workers 1-201,text,true,,444,0,187,341,null,0,0,0
1655465385525,0,Register,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-206,text,false,,2328,0,186,340,http://localhost/register,0,0,0
1655465385525,1,Login,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-206,text,false,,2328,0,186,340,http://localhost/login,0,0,1
1655465385526,1,Open store,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-206,text,false,,2628,0,186,340,http://localhost/openStore,0,0,1
1655465385527,1,logout,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-206,text,false,,2628,0,186,340,http://localhost/logout,0,0,1
1655465385528,0,Debug Sampler,200,OK,Workers 1-206,text,true,,442,0,186,340,null,0,0,0
1655465385530,1,Register,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-207,text,false,,2328,0,186,340,http://localhost/register,0,0,1
1655465385531,0,Login,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-207,text,false,,2328,0,186,339,http://localhost/login,0,0,0
1655465385532,0,Open store,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-207,text,false,,2628,0,188,341,http://localhost/openStore,0,0,0
1655465385533,0,Register,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-208,text,false,,2328,0,188,342,http://localhost/register,0,0,0
1655465385533,0,Register,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-205,text,false,,2328,0,188,342,http://localhost/register,0,0,0
1655465385532,1,logout,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-207,text,false,,2628,0,188,342,http://localhost/logout,0,0,1
1655465385534,0,Debug Sampler,200,OK,Workers 1-207,text,true,,444,0,188,342,null,0,0,0
1655465385533,1,Login,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-208,text,false,,2328,0,187,341,http://localhost/login,0,0,1
1655465385533,1,Login,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-205,text,false,,2328,0,187,341,http://localhost/login,0,0,1
1655465385534,2,Open store,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-205,text,false,,2628,0,188,342,http://localhost/openStore,0,0,2
1655465385534,2,Open store,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-208,text,false,,2628,0,188,342,http://localhost/openStore,0,0,2
1655465385537,1,Register,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-209,text,false,,2328,0,188,342,http://localhost/register,0,0,1
